AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
'48,'-2,168.80039741647053,160.78216140513365,168.05180280571412,160.11901391719388,110.0,110.0,220.0,205.0, 0.013,-2,-1,50,16.9,0,0,0
